ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
5382,UAE Afforestation Project,Innovative Sustainable Biotechnologies,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,United Arab Emirates,"1,975,529",Middle East,,2025-01-01,2124-12-31
5375,Save the Sand,Sand Catchment Pty Ltd.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,South Africa,"166,973",Africa,,,
5376,Seeds of Recovery: The Ukrainian Regenerative Agriculture & Carbon Removal Program,Sentinel Earth,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Ukraine,"96,750",Europe,,2023-07-01,2043-06-30
5378,The Clean Choola Initiative,Core Carbon Canada,Energy demand,,VM0050,Under development,Pakistan,"281,609",Asia,,2023-03-15,2030-03-14
5371,Kubu Peatland Project,Menggala Rambu Utama,Agriculture Forestry and Other Land Use,REDD; WRC,VM0007,Under validation,Indonesia,"597,165",Asia,,2022-01-01,2068-12-31
5373,Solar Light for Rural Kenya,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.L.,Registration and verification approval requested,Kenya,"61,985",Africa,,2023-04-01,2030-03-31
5369,Sierra del Divisor Conservation Corridor Grouped Project,Ama Pacha S.A.S,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Peru,"29,141",Latin America,,2023-10-27,2053-10-26
5370,Forestal Sylvis Silvopastoral Carbon Project,Forestal Sylvis S.A.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Paraguay,"446,243",Latin America,,2021-12-07,2041-12-06
5365,Conservation and Restoration of Mangroves in the Coastal Blue Carbon Ecosystem of Egypt,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under validation,Egypt,"263,361",Africa,,,
5366,Henan Zhumadian Youran Xiping Dairy Farm Biogas Utilization Project,"Zhumadian Youran Animal Husbandry Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registration and verification approval requested,China,"59,610",Asia,,2023-04-15,2033-04-14
5362,Shuangjianghu Wastewater Treatment Plant Project,"Shanghai Treasure Carbon New Energy Environmental Protection Technology Co., Ltd.",Waste handling and disposal,,AM0080,Registration requested,China,"29,269",Asia,,2023-04-01,2033-03-31
5363,Poultry Manure to Compost grouped project in Bangladesh,Kazi Farms Limited,Waste handling and disposal,,AMS-III.D.; AMS-III.F.,Under validation,Bangladesh,"25,423",Asia,,2023-04-15,2030-04-14
5360,Sumaq Allpa - Beautiful Land: Large-scale community-based afforestation in the Andes Highlands,Ama Pacha S.A.S,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Peru,"165,321",Latin America,,,
5357,TCL Aobo (Tianjin) E-waste recycling and comprehensive utilization project(Phase II),"TCL Aobo (Tianjin) Environmental Protection Development Co., Ltd.",Waste handling and disposal,,VM0008,Registration and verification approval requested,China,"56,102",Asia,,2023-05-01,2030-04-30
5352,Chongqing Fengdu LFG Power Generation Project,"Fengdu Zhaoqian New Energy Technology Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Under validation,China,"18,910",Asia,,2023-08-22,2033-08-21
5353,Life Climate Soil Carbon Project in Turkiye,Life Iklim ve Enerji Ltd. Sti (VCS),Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Turkey,"30,703",Middle East,,2022-01-01,2041-12-31
5349,Electric Vehicle Project in India,Mufin Green Finance Limited,Energy industries (renewable/non-renewable sources); Transport,,AMS-III.C.,Under validation,India,"9,035",Asia,,2023-04-01,2030-03-31
5350,"Organic waste to Bio-CNG project in Tamil Nadu, India",Energim Sustainable Solutions Cuddalore Private Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under validation,India,"93,851",Asia,,2023-10-17,2030-10-16
5351,PROJECT BUFFALO | WESTERN GUINEAN LOWLAND FOREST ECOSYSTEM RESTORATION,Rainforest Builder Ltd.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Sierra Leone,"12,520",Africa,,2023-09-01,2094-08-31
5344,Ejin Horo Banner MSW Landfill Biogas Pollution Control and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Under validation,China,"42,936",Asia,,2023-12-09,2033-12-08
5347,NATURALL CARBON PROGRAM: REGENERATIVE AGRICULTURE IN BRAZIL – PROJECT II,NaturAll Carbon Limited,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Brazil,"1,562,585",Latin America,,2022-01-01,2041-12-31
5348,NATURALL CARBON PROGRAM: REGENERATIVE AGRICULTURE IN BRAZIL – PROJECT III,NaturAll Carbon Limited,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Brazil,"1,562,585",Latin America,,2022-01-01,2041-12-31
